0,0,0
0.82784,0.044063,0.001992
1.6557,0.08811,0.003984
2.4836,0.13214,0.005975
3.3115,0.17616,0.007966
4.1394,0.22017,0.009957
4.9673,0.26416,0.011947
5.7953,0.30814,0.013937
6.6233,0.35211,0.015926
7.4512,0.39607,0.017915
8.2792,0.44002,0.019903
9.1073,0.48395,0.021891
9.9353,0.52788,0.023878
10.763,0.5718,0.025865
11.591,0.6157,0.027851
12.417,0.6586,0.029672
13.247,0.70352,0.031826
14.086,0.74969,0.03341
15.019,0.80689,0.035513
15.878,0.85626,0.036818
16.746,0.90665,0.03837
17.706,0.95893,0.039979
18.585,1.0103,0.04111
19.556,1.0644,0.042946
20.441,1.1143,0.043962
21.333,1.1632,0.044736
22.323,1.2214,0.044757
23.226,1.2722,0.043981
24.135,1.3198,0.042607
25.138,1.3722,0.041086
26.052,1.4194,0.039942
27.063,1.4719,0.038924
27.988,1.5172,0.037733
28.923,1.5609,0.037021
29.959,1.6098,0.037272
30.904,1.6546,0.038181
31.848,1.6916,0.0392
32.888,1.7402,0.040916
33.838,1.7919,0.042419
34.812,1.8476,0.044292
35.932,1.9141,0.045417
36.938,1.978,0.04639
38.044,2.0463,0.047748
39.04,2.1067,0.048699
40.04,2.168,0.048742
41.124,2.2447,0.049209
42.11,2.3106,0.049127
43.085,2.3721,0.04928
44.153,2.4454,0.049056
45.118,2.5057,0.04999
46.082,2.5636,0.051284
47.138,2.6332,0.052203
48.089,2.7011,0.052451
49.129,2.7742,0.053225
50.074,2.8368,0.053672
51.02,2.8976,0.053969
52.056,2.9632,0.054309
52.992,3.0238,0.054586
53.923,3.0819,0.05475
54.944,3.1412,0.055345
55.871,3.2001,0.056514
56.891,3.2632,0.057649
57.817,3.327,0.058102
58.735,3.3958,0.058592
59.732,3.4663,0.060209
60.624,3.5255,0.061706
61.508,3.5834,0.062787
62.475,3.6592,0.064125
63.342,3.7234,0.064932
64.194,3.7885,0.066246
65.116,3.8567,0.067561
65.942,3.9214,0.069141
66.836,3.9919,0.070726
67.636,4.0539,0.072292
68.425,4.1151,0.073695
69.278,4.1861,0.07516
70.044,4.2514,0.076263
70.794,4.3112,0.07807
71.592,4.3831,0.079714
72.296,4.4447,0.080896
73.052,4.5113,0.08251
73.723,4.5728,0.082893
74.377,4.6354,0.083622
75.072,4.699,0.084985
75.68,4.7499,0.086273
76.271,4.7926,0.086363
76.903,4.8426,0.085457
77.464,4.8928,0.082606
78.013,4.944,0.078847
78.603,4.9861,0.074055
79.126,5.0101,0.069053
79.689,5.034,0.060716
80.183,5.0572,0.050601
80.664,5.0826,0.036383
81.182,5.0955,0.017379
81.638,5.0831,-0.00335
82.126,5.0503,-0.030365
82.56,5.007,-0.05828
82.988,4.9508,-0.089467
83.448,4.8689,-0.12826
83.856,4.777,-0.16783
84.253,4.6641,-0.21098
84.672,4.5185,-0.26272
85.034,4.363,-0.31445
85.415,4.1683,-0.3754
85.742,3.9696,-0.43362
86.049,3.7522,-0.4942
86.363,3.4896,-0.56241
86.629,3.2363,-0.62417
86.904,2.9407,-0.6917
87.137,2.6537,-0.75247
87.35,2.3549,-0.81251
87.558,2.0094,-0.8768
87.726,1.6863,-0.93269
87.9,1.3278,-0.99161
